Gender;age;Marital;Education;Religion;Occupation;Affordability;Eligibility;Working;NonWorking;Member;Ratio;MoreIncome;Worthy;Compliance;IDRIncome;USDIncome;Transportation;Comfort;TravelTime;BetterLife;Interaction;Parenting;SelfCare;Famil;Wellbeing;Stress;CommuteTime;Satisfaction
1;30;1;3;1;1;4;4;1;1;2;200;4;4;4;2500000;17857;4;4;5;4;3;4;4;4;3;3;3;Sangat Tidak Puas
1;40;1;3;1;5;4;5;2;2;4;200;4;4;5;1200000;8571;4;5;4;4;3;4;4;5;4;4;5;Sangat Tidak Puas
1;38;1;3;1;5;4;4;1;2;3;300;3;4;5;1600000;11429;4;4;5;5;4;4;3;3;3;3;4;Sangat Tidak Puas
1;27;2;3;1;5;5;4;2;2;4;200;4;4;5;1500000;10714;4;5;4;4;5;5;4;3;4;5;4;Sangat Tidak Puas
2;28;2;3;1;5;5;5;3;2;5;167;5;4;5;1200000;8571;4;5;4;4;4;5;3;4;5;5;4;Sangat Tidak Puas
1;37;1;2;1;5;4;4;1;2;3;300;4;4;5;2000000;14286;4;4;5;4;3;4;5;4;4;5;4;Sangat Tidak Puas
1;25;2;3;1;5;4;4;1;3;4;400;4;4;5;1500000;10714;4;4;5;4;4;3;4;3;4;4;5;Sangat Tidak Puas
2;27;2;3;1;3;3;4;3;1;4;133;4;4;5;2000000;14286;4;4;3;4;4;5;5;4;3;4;3;Sangat Tidak Puas
1;40;1;3;1;3;3;5;2;2;4;200;4;4;5;1800000;12857;4;4;3;4;4;3;5;4;4;3;5;Sangat Tidak Puas
1;27;2;3;1;5;4;4;2;2;4;200;4;5;5;1500000;10714;4;4;5;3;4;3;3;4;3;4;4;Biasa
1;45;1;2;1;5;3;4;2;3;5;250;3;4;5;1800000;12857;3;4;4;3;4;4;3;4;4;3;4;Biasa
1;38;1;3;1;3;3;5;1;3;4;400;3;4;4;1600000;11429;4;4;4;4;3;4;5;4;4;5;5;Sangat Tidak Puas
1;25;2;3;1;5;3;5;2;2;4;200;3;4;5;1200000;8571;4;4;5;4;4;3;4;5;3;4;4;Sangat Tidak Puas
2;30;1;3;1;5;2;4;2;1;3;150;4;4;4;1500000;10714;4;4;4;4;4;4;4;4;4;3;3;Sangat Tidak Puas
1;28;2;3;1;5;3;4;2;3;5;250;4;4;3;1500000;10714;4;4;4;4;3;4;4;4;4;3;4;Sangat Tidak Puas
1;38;1;3;1;5;3;4;1;2;3;300;4;4;5;1600000;11429;4;4;5;4;4;5;4;4;3;4;4;Sangat Tidak Puas
